T,E,M,E2,M2
1.2806060606060605,-26656.788766788766,538.7728937728938,710585046.3443223,290399.0989010989
1.2201010101010101,-26800.652014652016,575.3992673992674,718275024.5030525,331388.3272283272
1.1595959595959597,-27024.315018315017,602.5372405372406,730313641.0695971,363077.4358974359
1.0990909090909091,-27278.125763125765,731.2063492063492,744096321.2527473,534795.0036630037
1.0385858585858585,-27401.703296703297,768.5616605616606,750853366.0879121,590723.1941391941
0.9780808080808081,-27594.003663003663,823.1159951159951,761429044.2661783,677589.7875457875
0.9175757575757576,-27785.83028083028,937.9096459096459,772052368.1880342,879686.1294261294
0.8570707070707071,-27856.096459096458,1012.9145299145299,775962155.5628816,1026077.7362637363
0.7965656565656566,-27978.300366300366,1078.042735042735,782785322.2466422,1162275.1086691087
0.7360606060606061,-28090.189255189256,1028.4529914529915,789058734.8253968,1057756.0024420025
0.6755555555555556,-28211.85347985348,967.4908424908425,795908690.9010988,936060.3443223443
0.6150505050505051,-28284.15873015873,973.8571428571429,799993642.9499389,948429.4725274725
0.5545454545454546,-28341.908424908426,928.7765567765567,803263777.2820513,862716.3614163614
0.49404040404040406,-28362.0,891.8412698412699,804403044.0,795471.7216117216
0.43353535353535355,-28452.1684981685,805.3076923076923,809525893.3040293,648546.2344322344
0.37303030303030305,-28508.058608058607,836.8669108669109,812709405.8315018,700365.2405372405
0.31252525252525254,-28552.69230769231,861.2722832722833,815256238.9230769,741816.4884004884
0.25202020202020203,-28580.0,792.8717948717949,816816400.0,628658.0415140415
0.19151515151515153,-28606.3663003663,800.982905982906,818324194.2417582,641597.7118437118
0.13101010101010102,-28626.185592185593,831.7533577533577,819458502.2661783,691839.7948717949
0.0705050505050505,-28663.457875457876,825.5006105006105,821593825.2454213,681572.0757020757
0.01,-28700.046398046397,795.6019536019536,823692672.9523809,633071.8144078144
0.01,-28736.761904761905,858.7484737484738,825801491.7802198,737482.6593406594
0.0705050505050505,-28781.225885225886,848.991452991453,828358965.953602,720814.7106227106
0.13101010101010102,-28816.0,933.8107448107448,830361856.0,872090.9865689866
0.19151515151515153,-28841.894993894995,926.1111111111111,831854910.8278388,857749.9072039071
0.25202020202020203,-28870.621489621488,984.6678876678876,833512786.053724,969607.4212454213
0.31252525252525254,-28898.0,1085.4310134310135,835094404.0,1178177.6263736263
0.37303030303030305,-28918.0,1077.2332112332113,836250724.0,1160452.293040293
0.43353535353535355,-28932.490842490843,1112.2686202686202,837089030.1098901,1237177.3577533579
0.49404040404040406,-28966.0,1227.873015873016,839029156.0,1507714.862026862
0.5545454545454546,-28986.0,1297.0586080586081,840188196.0,1682418.1123321124
0.6150505050505051,-29033.3894993895,1331.5995115995115,842937709.8315018,1773189.4993894994
0.6755555555555556,-29051.351648351647,1342.8131868131868,843981033.970696,1803167.5995115994
0.7360606060606061,-29029.91208791209,1329.7045177045177,842735799.8241758,1768165.2405372406
0.7965656565656566,-29056.02686202686,1407.7716727716727,844252733.5482296,1981848.9597069598
0.8570707070707071,-29043.570207570207,1330.3431013431014,843528981.4896215,1769849.873015873
0.9175757575757576,-29051.22954822955,1323.2954822954823,843973939.4847375,1751170.1172161172
0.9780808080808081,-29056.0,1283.6410256410256,844251153.2112333,1647756.6544566546
1.0385858585858585,-29012.88766788767,1245.4407814407814,841747659.4114774,1551131.8144078143
1.0990909090909091,-28941.99877899878,1250.4212454212454,837639300.4420024,1563573.785103785
1.1595959595959597,-28922.604395604394,1280.2490842490843,836517117.6630037,1639052.8156288157
1.2201010101010101,-28832.064713064712,1268.035409035409,831288042.4688644,1608029.8241758242
1.2806060606060605,-28863.885225885228,1282.3797313797313,833124198.8620268,1644562.0781440781
1.3411111111111111,-28725.467643467644,1281.3907203907204,825152521.6898657,1641998.5323565323
1.4016161616161618,-28501.289377289377,1338.126984126984,812323515.1013432,1790607.912087912
1.4621212121212122,-28338.810744810744,1440.7765567765568,803088315.8925519,2075854.774114774
1.5226262626262625,-28267.75702075702,1459.980463980464,799066114.7374847,2131732.1465201466
1.5831313131313132,-27965.874236874235,1465.2869352869352,782090364.3052503,2147304.302808303
1.6436363636363638,-27799.310134310133,1415.1074481074481,772802213.3943834,2002544.94993895
1.7041414141414142,-27641.029304029304,1363.7338217338217,764026895.9096459,1860009.6752136752
1.7646464646464646,-27498.6800976801,1397.4749694749694,756178968.9255189,1952970.5543345544
1.8251515151515152,-27056.649572649574,1350.5995115995115,732062781.3724054,1824160.4713064714
1.8856565656565658,-26750.84126984127,1319.7997557997558,715607826.02442,1741895.4627594627
1.9461616161616162,-26318.07326007326,1266.8815628815628,692641277.7240537,1605020.4395604397
2.0066666666666664,-25465.008547008547,1292.6080586080586,648467646.1831502,1670974.9108669108
2.0671717171717168,-25104.52258852259,1277.1184371184372,630237877.8705739,1631099.3504273505
2.1276767676767676,-24722.23199023199,1247.5787545787546,611190297.5042735,1556512.5885225886
2.188181818181818,-24241.06105006105,1370.1330891330892,587630018.1416361,1877368.8327228327
2.2486868686868684,-23503.13308913309,1358.3504273504273,552397690.1978022,1845175.4505494505
2.3091919191919192,-22714.691086691088,1225.8253968253969,515958893.62637365,1502758.0
2.3696969696969696,-21995.482295482296,1258.857142857143,483801553.0842491,1584841.1086691087
2.43020202020202,-21305.053724053723,1142.5372405372405,453905758.8840049,1305508.415140415
2.4907070707070704,-20374.465201465202,1236.974358974359,415120411.5775336,1530169.978021978
2.551212121212121,-19793.882783882786,1186.4615384615386,391798944.8693529,1407814.442002442
2.6117171717171717,-19117.63003663004,1291.7753357753359,365484856.002442,1668864.595848596
2.672222222222222,-18931.345543345542,1434.869352869353,358396247.38461536,2058935.3162393162
2.7327272727272724,-17950.00122100122,1298.2503052503052,322203640.25641024,1686085.4871794872
2.7932323232323233,-16917.750915750916,1283.2148962148963,286211710.5592186,1646714.341880342
2.8537373737373737,-16418.838827838827,1236.6263736263736,269578716.1098901,1529533.8925518924
2.914242424242424,-15695.246642246642,1256.6788766788766,246341637.2087912,1579854.0805860807
2.9747474747474745,-14423.185592185591,1052.1355311355312,208041935.68986568,1107918.879120879
3.035252525252525,-14099.579975579976,979.3956043956044,198798695.33577535,959260.4224664224
3.0957575757575757,-13450.29304029304,873.3357753357753,180910891.57020757,763248.0634920635
3.156262626262626,-13335.065934065935,1138.964590964591,177827414.92307693,1297833.5140415141
3.2167676767676765,-12734.897435897436,741.7338217338217,162179534.67399266,550511.9267399267
3.2772727272727273,-12135.695970695971,518.5091575091575,147275940.31990233,269162.0927960928
3.3377777777777777,-11801.07326007326,600.5494505494505,139267024.62271062,360940.0244200244
3.398282828282828,-11438.489621489622,361.77045177045176,130849969.1990232,132485.32844932846
3.4587878787878785,-10945.998778998779,398.03540903540903,119815807.25518925,159049.92673992674
3.519292929292929,-11026.345543345544,419.4871794871795,121581168.27106227,176125.1672771673
3.5797979797979798,-10470.153846153846,333.7069597069597,109625799.45787546,111627.5750915751
3.64030303030303,-10181.669108669108,146.43223443223442,103672934.8058608,21845.91452991453
3.7008080808080805,-9413.892551892552,103.4114774114774,88621958.12942614,10902.964590964591
3.7613131313131314,-9152.08424908425,67.73015873015873,83761170.7960928,5817.8339438339435
3.821818181818182,-9703.495726495727,248.35775335775335,94159150.54700854,61844.65201465201
3.882323232323232,-9242.04884004884,280.1001221001221,85419494.43223444,78855.76556776557
3.9428282828282826,-8708.506715506715,134.16483516483515,75838693.63858365,18627.650793650795
4.003333333333333,-8596.111111111111,76.1953601953602,73896030.75702076,6905.0989010989015
4.063838383838384,-8569.630036630037,170.78754578754578,73439676.02686203,30394.57631257631
4.124343434343434,-8267.577533577534,273.7557997557997,68353435.55067155,75278.54456654457
4.184848484848485,-8361.18437118437,285.3858363858364,69912234.2026862,81572.105006105
4.245353535353535,-8154.924297924298,273.45177045177047,66503254.766788766,76199.87057387058
4.305858585858585,-7996.102564102564,154.32478632478632,63938853.97802198,25935.721611721612
4.366363636363636,-7947.62148962149,336.4175824175824,63169122.91086691,113730.86202686203
4.426868686868687,-8026.7557997558,510.01221001221,64436326.67399267,263028.8547008547
4.487373737373737,-7849.913308913309,308.5738705738706,61624024.647130646,95697.93406593407
4.547878787878788,-7621.7557997558,125.6056166056166,58091975.76068376,16168.368742368742
4.608383838383839,-7439.667887667888,414.9181929181929,55349241.55311355,172393.45054945056
4.668888888888889,-7361.455433455433,490.6837606837607,54193526.86202686,241444.884004884
4.7293939393939395,-7182.262515262515,136.05128205128204,51587201.82905983,19106.275946275946
4.789898989898989,-6856.06105006105,278.5726495726496,47009385.93894994,77822.38583638583
4.85040404040404,-7040.706959706959,317.22954822954824,49579400.212454215,100840.87667887668
4.910909090909091,-6942.582417582417,297.8498168498169,48200195.333333336,89381.36996336996
4.971414141414141,-6803.62148962149,246.65201465201466,46289975.88278388,61474.11477411477
5.031919191919192,-6700.2319902319905,98.66300366300366,44896520.03418803,10949.321123321124
5.092424242424242,-6679.9035409035405,250.55067155067155,44621446.35653236,64488.993894993895
5.152929292929293,-6412.962148962149,50.54822954822955,41127345.90964591,3299.64590964591
5.2134343434343435,-6442.881562881563,-102.98290598290598,41511093.9047619,11020.192918192919
5.2739393939393935,-6506.042735042735,-196.8229548229548,42329303.557997555,39676.605616605615
5.334444444444444,-6236.262515262515,-273.7960927960928,38891979.264957264,75285.33577533577
5.394949494949495,-6293.874236874237,-204.35042735042734,39613606.48840049,42130.81562881563
5.455454545454545,-6248.117216117216,-240.96825396825398,39041375.003663,58506.678876678874
5.515959595959596,-6131.405372405372,-93.56288156288156,37594975.94871795,10870.31501831502
5.576464646464647,-5967.086691086691,184.8803418803419,35611474.57387058,34854.23443223443
5.636969696969697,-6026.5677655677655,98.33455433455434,36320512.700854704,10392.991452991453
5.697474747474748,-5997.997557997558,45.06959706959707,35977301.43101343,2620.356532356532
5.7579797979797975,-5524.777777777777,13.825396825396826,30524025.98046398,559.2551892551893
5.818484848484848,-5558.29181929182,-59.046398046398046,30895524.373626374,4677.706959706959
5.878989898989899,-5527.93894993895,-27.334554334554333,30559226.315018315,889.5262515262515
5.939494949494949,-5394.416361416362,104.39072039072039,29101541.335775334,11510.666666666666
6.0,-5686.0976800976805,-1.170940170940171,32332321.54822955,942.1318681318681
6.0,-5295.213675213675,259.65323565323564,28041525.328449327,67670.63736263737
5.939494949494949,-5811.113553113553,275.8021978021978,33770585.787545785,77162.17338217338
5.878989898989899,-5880.641025641025,419.6996336996337,34583605.84859585,176838.79365079364
5.818484848484848,-5675.661782661783,53.7008547008547,32216149.921855923,4175.308913308913
5.7579797979797975,-5952.782661782662,-172.17582417582418,35437004.134310134,29998.4126984127
5.697474747474748,-5544.810744810745,-71.63858363858364,30748097.504273504,5471.692307692308
5.636969696969697,-5850.742368742369,2.258852258852259,34231890.417582415,371.8144078144078
5.576464646464647,-6305.644688644688,232.7960927960928,39764390.48840049,54619.16971916972
