T,E,M
1.5226262626262625,-12896.0,-218.0
1.4621212121212122,-13288.0,-228.0
1.4016161616161618,-13424.0,-220.0
1.3411111111111111,-13712.0,-248.0
1.2806060606060605,-13832.0,-234.0
1.2201010101010101,-14000.0,-202.0
1.1595959595959597,-14048.0,-168.0
1.0990909090909091,-14112.0,-228.0
1.0385858585858585,-14304.0,-244.0
0.9780808080808081,-14424.0,-280.0
0.9175757575757576,-14464.0,-238.0
0.8570707070707071,-14528.0,-242.0
0.7965656565656566,-14584.0,-222.0
0.7360606060606061,-14632.0,-228.0
0.6755555555555556,-14672.0,-218.0
0.6150505050505051,-14696.0,-206.0
0.5545454545454546,-14704.0,-198.0
0.49404040404040406,-14704.0,-238.0
0.43353535353535355,-14720.0,-232.0
0.37303030303030305,-14720.0,-230.0
0.31252525252525254,-14736.0,-262.0
0.25202020202020203,-14776.0,-244.0
0.19151515151515153,-14792.0,-250.0
0.13101010101010102,-14792.0,-300.0
0.0705050505050505,-14800.0,-322.0
0.01,-14824.0,-318.0
0.01,-14832.0,-342.0
0.0705050505050505,-14840.0,-294.0
0.13101010101010102,-14848.0,-320.0
0.19151515151515153,-14856.0,-286.0
0.25202020202020203,-14872.0,-360.0
0.31252525252525254,-14880.0,-412.0
0.37303030303030305,-14912.0,-398.0
0.43353535353535355,-14928.0,-406.0
0.49404040404040406,-14944.0,-432.0
0.5545454545454546,-14960.0,-416.0
0.6150505050505051,-14952.0,-412.0
0.6755555555555556,-14952.0,-392.0
0.7360606060606061,-14960.0,-398.0
0.7965656565656566,-14984.0,-342.0
0.8570707070707071,-14992.0,-314.0
0.9175757575757576,-14976.0,-398.0
0.9780808080808081,-14936.0,-436.0
1.0385858585858585,-14912.0,-438.0
1.0990909090909091,-14936.0,-432.0
1.1595959595959597,-14856.0,-472.0
1.2201010101010101,-14864.0,-474.0
1.2806060606060605,-14752.0,-472.0
1.3411111111111111,-14816.0,-496.0
1.4016161616161618,-14712.0,-488.0
1.4621212121212122,-14616.0,-498.0
1.5226262626262625,-14528.0,-438.0
1.5831313131313132,-14416.0,-396.0
1.6436363636363638,-14248.0,-354.0
1.7041414141414142,-14184.0,-314.0
1.7646464646464646,-14000.0,-350.0
1.8251515151515152,-14024.0,-340.0
1.8856565656565658,-13824.0,-314.0
1.9461616161616162,-13480.0,-230.0
2.0066666666666664,-13272.0,-264.0
2.0671717171717168,-13048.0,-278.0
2.1276767676767676,-12648.0,-402.0
2.188181818181818,-12576.0,-432.0
2.2486868686868684,-12224.0,-396.0
2.3091919191919192,-11816.0,-442.0
2.3696969696969696,-11560.0,-460.0
2.43020202020202,-11056.0,-404.0
2.4907070707070704,-11024.0,-288.0
2.551212121212121,-10464.0,-358.0
2.6117171717171717,-10040.0,-352.0
2.672222222222222,-9928.0,-362.0
2.7327272727272724,-9720.0,-312.0
2.7932323232323233,-9088.0,-250.0
2.8537373737373737,-9024.0,-244.0
2.914242424242424,-8672.0,-172.0
2.9747474747474745,-8088.0,-42.0
3.035252525252525,-7640.0,-74.0
3.0957575757575757,-6936.0,-192.0
3.156262626262626,-6728.0,-194.0
3.2167676767676765,-6344.0,-174.0
3.2772727272727273,-6144.0,-140.0
3.3377777777777777,-6224.0,-22.0
3.398282828282828,-5608.0,-56.0
3.4587878787878785,-5568.0,-96.0
3.519292929292929,-5720.0,50.0
3.5797979797979798,-5472.0,138.0
3.64030303030303,-5712.0,222.0
3.7008080808080805,-5216.0,82.0
3.7613131313131314,-4936.0,84.0
3.821818181818182,-4368.0,56.0
3.882323232323232,-4552.0,-8.0
3.9428282828282826,-4496.0,46.0
4.003333333333333,-4576.0,-18.0
4.063838383838384,-4488.0,-26.0
4.124343434343434,-4672.0,62.0
4.184848484848485,-4176.0,70.0
4.245353535353535,-4184.0,106.0
4.305858585858585,-4128.0,142.0
4.366363636363636,-4056.0,74.0
4.426868686868687,-4136.0,-82.0
4.487373737373737,-3832.0,88.0
4.547878787878788,-4176.0,58.0
4.608383838383839,-4000.0,76.0
4.668888888888889,-4024.0,96.0
4.7293939393939395,-3584.0,36.0
4.789898989898989,-3288.0,-102.0
4.85040404040404,-3664.0,70.0
4.910909090909091,-3840.0,138.0
4.971414141414141,-3728.0,-110.0
5.031919191919192,-3640.0,-134.0
5.092424242424242,-3304.0,-22.0
5.152929292929293,-3136.0,-48.0
5.2134343434343435,-3192.0,136.0
5.2739393939393935,-3320.0,120.0
5.334444444444444,-3368.0,208.0
5.394949494949495,-3048.0,58.0
5.455454545454545,-3376.0,-32.0
5.515959595959596,-3272.0,38.0
5.576464646464647,-3296.0,-42.0
5.636969696969697,-3208.0,-48.0
5.697474747474748,-2624.0,-12.0
5.7579797979797975,-3256.0,20.0
5.818484848484848,-3024.0,-98.0
5.878989898989899,-3256.0,28.0
5.939494949494949,-2480.0,-96.0
6.0,-2520.0,-80.0
